Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR2000	04/03/2023	10:36:38	 2,000	 62,07	 20,53	 3,024	 1,130	 22,13	 2,482	 0,000	 16,06	 0,000	 0,000	 0,09996	 0,06391	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:36:48	 3,000	 139,3	 16,17	 8,612	 9,383	 22,11	 0,6712	 0,000	 0,000	 13,12	 0,000	 0,09996	 0,06382	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:37:00	 4,000	 154,2	 17,61	 8,758	 9,492	 22,31	 0,7281	 0,000	 0,000	 0,000	 14,73	 0,09996	 0,06396	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:37:10	 1,000	 127,2	 16,55	 7,685	 9,258	 21,84	 0,6290	 17,00	 0,000	 0,000	 0,000	 0,09996	 0,06408	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:37:22	 2,000	 136,1	 15,54	 8,758	 9,402	 21,89	 0,6614	 0,000	 19,60	 0,000	 0,000	 0,09996	 0,06399	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:37:32	 3,000	 137,0	 16,06	 8,530	 9,402	 21,93	 0,6642	 0,000	 0,000	 17,33	 0,000	 0,09996	 0,06397	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:37:44	 4,000	 152,4	 16,99	 8,972	 9,518	 22,16	 0,7227	 0,000	 0,000	 0,000	 17,55	 0,09996	 0,06388	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:37:54	 1,000	 126,0	 16,49	 7,641	 9,274	 21,74	 0,6250	 18,33	 0,000	 0,000	 0,000	 0,09996	 0,06405	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:38:06	 2,000	 135,1	 15,42	 8,761	 9,428	 21,79	 0,6577	 0,000	 21,10	 0,000	 0,000	 0,09996	 0,06405	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:38:16	 3,000	 135,7	 15,93	 8,515	 9,409	 21,82	 0,6608	 0,000	 0,000	 19,23	 0,000	 0,09996	 0,06405	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:38:28	 4,000	 151,4	 16,96	 8,927	 9,522	 22,05	 0,7210	 0,000	 0,000	 0,000	 19,44	 0,09996	 0,06408	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
